ID Real Estate Taxes Paid,Real Estate Taxes Paid,ID Year,Year,Real Estate Taxes by Mortgage,Real Estate Taxes by Mortgage Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $800",2020,"2020",10933041,41576.49616069157,"United States","01000US","united-states",0.13874175242828246
1,"$800 to $1,499",2020,"2020",12687284,46851.8859599056,"United States","01000US","united-states",0.1610033307032608
2,"$1,500 to $1,999",2020,"2020",7456713,32038.92721362562,"United States","01000US","united-states",0.09462668519899957
3,"$2,000 to $2,999",2020,"2020",12055376,49350.868786678926,"United States","01000US","united-states",0.15298433367457948
4,"$3,000 or More",2020,"2020",32307496,108348.73799449627,"United States","01000US","united-states",0.40998644490674885
5,"No Real Estate Taxes Paid",2020,"2020",3361466,18899.94290996669,"United States","01000US","united-states",0.042657453088128815
0,"Less Than $800",2020,"2020",41209,1902.1219729554673,"Houston, TX","16000US4835000","houston-tx",0.10982652797432965
1,"$800 to $1,499",2020,"2020",42841,1905.5734045163413,"Houston, TX","16000US4835000","houston-tx",0.11417598788973905
2,"$1,500 to $1,999",2020,"2020",27575,1422.1198964925568,"Houston, TX","16000US4835000","houston-tx",0.07349041493101362
3,"$2,000 to $2,999",2020,"2020",50152,1839.1913984139878,"Houston, TX","16000US4835000","houston-tx",0.13366060887108594
4,"$3,000 or More",2020,"2020",180131,3594.8130688535107,"Houston, TX","16000US4835000","houston-tx",0.48006897305307034
5,"No Real Estate Taxes Paid",2020,"2020",33311,1733.3643586966937,"Houston, TX","16000US4835000","houston-tx",0.08877748728076137
0,"Less Than $800",2019,"2019",11116778,38560.90797686175,"United States","01000US","united-states",0.14386110708541294
1,"$800 to $1,499",2019,"2019",12864206,49109.35984107306,"United States","01000US","united-states",0.16647439725204657
2,"$1,500 to $1,999",2019,"2019",7474286,34161.31920754817,"United States","01000US","united-states",0.09672398411059417
3,"$2,000 to $2,999",2019,"2019",11877218,47802.053188121536,"United States","01000US","united-states",0.15370188471648838
4,"$3,000 or More",2019,"2019",30755160,118969.237826423,"United States","01000US","united-states",0.39799943528502674
5,"No Real Estate Taxes Paid",2019,"2019",3186733,19969.552548817916,"United States","01000US","united-states",0.04123919155043118
0,"Less Than $800",2019,"2019",38978,1510.0877457949257,"Houston, TX","16000US4835000","houston-tx",0.10734990759943044
1,"$800 to $1,499",2019,"2019",44770,1534.9794786901875,"Houston, TX","16000US4835000","houston-tx",0.12330174363041975
2,"$1,500 to $1,999",2019,"2019",28914,1212.0713675357572,"Houston, TX","16000US4835000","houston-tx",0.07963249084945179
3,"$2,000 to $2,999",2019,"2019",49852,1604.7582372432303,"Houston, TX","16000US4835000","houston-tx",0.13729815777225118
4,"$3,000 or More",2019,"2019",170708,2570.0778198334774,"Houston, TX","16000US4835000","houston-tx",0.47014952092163714
5,"No Real Estate Taxes Paid",2019,"2019",29871,1276.5864639733575,"Houston, TX","16000US4835000","houston-tx",0.08226817922680967
0,"Less Than $800",2018,"2018",11635164,42964.70514270988,"United States","01000US","united-states",0.1522034523991884
1,"$800 to $1,499",2018,"2018",13267983,48866.32648358172,"United States","01000US","united-states",0.17356290113089431
2,"$1,500 to $1,999",2018,"2018",7253924,32426.08340518478,"United States","01000US","united-states",0.0948909939078925
3,"$2,000 to $2,999",2018,"2018",11924270,50360.791544613356,"United States","01000US","united-states",0.15598534419799068
4,"$3,000 or More",2018,"2018",29172423,107057.67718851367,"United States","01000US","united-states",0.3816141736764079
5,"No Real Estate Taxes Paid",2018,"2018",3191046,18804.818797318945,"United States","01000US","united-states",0.04174313468762628
0,"Less Than $800",2018,"2018",41048,1415.806837107379,"Houston, TX","16000US4835000","houston-tx",0.11272185043100015
1,"$800 to $1,499",2018,"2018",49484,1524.1371329378467,"Houston, TX","16000US4835000","houston-tx",0.13588793721320433
2,"$1,500 to $1,999",2018,"2018",28327,1122.7582108361532,"Houston, TX","16000US4835000","houston-tx",0.07778873165949478
3,"$2,000 to $2,999",2018,"2018",52966,1675.2790812279607,"Houston, TX","16000US4835000","houston-tx",0.1454498521225968
4,"$3,000 or More",2018,"2018",164646,2757.093034338885,"Houston, TX","16000US4835000","houston-tx",0.45213413043418565
5,"No Real Estate Taxes Paid",2018,"2018",27682,1217.047246412398,"Houston, TX","16000US4835000","houston-tx",0.07601749813951827
0,"Less Than $800",2017,"2017",12180473,41910.65273889206,"United States","01000US","united-states",0.16062204206643968
1,"$800 to $1,499",2017,"2017",13486917,50943.805315268706,"United States","01000US","united-states",0.17784992009099979
2,"$1,500 to $1,999",2017,"2017",7370334,32559.669070799842,"United States","01000US","united-states",0.09719147177549761
3,"$2,000 to $2,999",2017,"2017",11752005,47753.8796434384,"United States","01000US","united-states",0.1549718998166171
4,"$3,000 or More",2017,"2017",27833151,98722.03233321322,"United States","01000US","united-states",0.3670315225659601
5,"No Real Estate Taxes Paid",2017,"2017",3210255,18283.512381377925,"United States","01000US","united-states",0.04233314368448568
0,"Less Than $800",2017,"2017",42367,1427.3226684951094,"Houston, TX","16000US4835000","houston-tx",0.11675273783475439
1,"$800 to $1,499",2017,"2017",50977,1456.0374308375453,"Houston, TX","16000US4835000","houston-tx",0.1404797204570131
2,"$1,500 to $1,999",2017,"2017",30309,1254.8306658669128,"Houston, TX","16000US4835000","houston-tx",0.08352393917514978
3,"$2,000 to $2,999",2017,"2017",54181,1680.154754777071,"Houston, TX","16000US4835000","houston-tx",0.14930913419937278
4,"$3,000 or More",2017,"2017",157921,2492.355111134848,"Houston, TX","16000US4835000","houston-tx",0.43519033945292906
5,"No Real Estate Taxes Paid",2017,"2017",27123,987.3140331221874,"Houston, TX","16000US4835000","houston-tx",0.07474412888078087
0,"Less Than $800",2016,"2016",12531747,45777.658306208716,"United States","01000US","united-states",0.16735534541254138
1,"$800 to $1,499",2016,"2016",13602086,53076.79362018772,"United States","01000US","united-states",0.18164919869999718
2,"$1,500 to $1,999",2016,"2016",7445603,31198.373835826766,"United States","01000US","united-states",0.09943238256163761
3,"$2,000 to $2,999",2016,"2016",11663686,47806.785480724386,"United States","01000US","united-states",0.1557628157760784
4,"$3,000 or More",2016,"2016",26506698,95975.3177540976,"United States","01000US","united-states",0.3539839736260172
5,"No Real Estate Taxes Paid",2016,"2016",3131248,19009.20306062303,"United States","01000US","united-states",0.04181628392372822
0,"Less Than $800",2016,"2016",42383,1352.798950324844,"Houston, TX","16000US4835000","houston-tx",0.1180197038299389
1,"$800 to $1,499",2016,"2016",52865,1651.4699512858235,"Houston, TX","16000US4835000","houston-tx",0.14720788153197556
2,"$1,500 to $1,999",2016,"2016",31384,1113.794415500455,"Houston, TX","16000US4835000","houston-tx",0.08739188790314047
3,"$2,000 to $2,999",2016,"2016",55488,1447.570378254543,"Houston, TX","16000US4835000","houston-tx",0.15451188745760447
4,"$3,000 or More",2016,"2016",151701,2371.709299218604,"Houston, TX","16000US4835000","houston-tx",0.4224266118657377
5,"No Real Estate Taxes Paid",2016,"2016",25297,1034.865208614146,"Houston, TX","16000US4835000","houston-tx",0.07044202741160287
0,"Less Than $800",2015,"2015",12879501,48935.47736560869,"United States","01000US","united-states",0.1723884424543813
1,"$800 to $1,499",2015,"2015",13777456,51066.01752633546,"United States","01000US","united-states",0.18440731367028665
2,"$1,500 to $1,999",2015,"2015",7381394,32851.843616454775,"United States","01000US","united-states",0.0987978505380073
3,"$2,000 to $2,999",2015,"2015",11823238,48189.1236276403,"United States","01000US","united-states",0.15825066387179554
4,"$3,000 or More",2015,"2015",25749921,90398.20937385873,"United States","01000US","united-states",0.34465533831732803
5,"No Real Estate Taxes Paid",2015,"2015",3100581,19015.709715916466,"United States","01000US","united-states",0.041500391148201164
0,"Less Than $800",2015,"2015",42865,1297.7276293583334,"Houston, TX","16000US4835000","houston-tx",0.12045230381013132
1,"$800 to $1,499",2015,"2015",53951,1604.0938251860455,"Houston, TX","16000US4835000","houston-tx",0.1516043915282957
2,"$1,500 to $1,999",2015,"2015",31526,1273.5854898670916,"Houston, TX","16000US4835000","houston-tx",0.08858927633076402
3,"$2,000 to $2,999",2015,"2015",56790,1678.6149052120322,"Houston, TX","16000US4835000","houston-tx",0.15958209106211027
4,"$3,000 or More",2015,"2015",146930,2389.553305536413,"Houston, TX","16000US4835000","houston-tx",0.412878968828242
5,"No Real Estate Taxes Paid",2015,"2015",23805,845.3638269999492,"Houston, TX","16000US4835000","houston-tx",0.06689296844045668
0,"Less Than $800",2014,"2014",13084968,48472.84374781409,"United States","01000US","united-states",0.17496205914734902
1,"$800 to $1,499",2014,"2014",13717368,51747.27915552662,"United States","01000US","united-states",0.183418022219233
2,"$1,500 to $1,999",2014,"2014",7542643,34096.920124844124,"United States","01000US","united-states",0.10085438120241014
3,"$2,000 to $2,999",2014,"2014",11891354,42869.47282157783,"United States","01000US","united-states",0.1590019770694178
4,"$3,000 or More",2014,"2014",25480506,87258.29093558961,"United States","01000US","united-states",0.3407055942266257
5,"No Real Estate Taxes Paid",2014,"2014",3070621,17287.79826929965,"United States","01000US","united-states",0.04105796613496434
0,"Less Than $800",2014,"2014",43716,1368.3603326609552,"Houston, TX","16000US4835000","houston-tx",0.12381715755277298
1,"$800 to $1,499",2014,"2014",51771,1608.359723444976,"Houston, TX","16000US4835000","houston-tx",0.14663139499644545
2,"$1,500 to $1,999",2014,"2014",31914,1306.8760461497488,"Houston, TX","16000US4835000","houston-tx",0.09039026365951132
3,"$2,000 to $2,999",2014,"2014",57669,1556.7559217809323,"Houston, TX","16000US4835000","houston-tx",0.16333634502037844
4,"$3,000 or More",2014,"2014",143713,2473.5763582311342,"Houston, TX","16000US4835000","houston-tx",0.40703941722439524
5,"No Real Estate Taxes Paid",2014,"2014",24286,940.4323473807141,"Houston, TX","16000US4835000","houston-tx",0.06878542154649658
0,"Less Than $800",2013,"2013",13204671,48677.49545734661,"United States","01000US","united-states",0.17588475365531056
1,"$800 to $1,499",2013,"2013",13902212,52861.0580389761,"United States","01000US","united-states",0.18517592243562164
2,"$1,500 to $1,999",2013,"2013",7668065,32567.909435516427,"United States","01000US","united-states",0.10213777560515586
3,"$2,000 to $2,999",2013,"2013",12013726,47260.06468467854,"United States","01000US","united-states",0.16002149830104814
4,"$3,000 or More",2013,"2013",25327452,91498.30479850432,"United States","01000US","united-states",0.3373588524649121
5,"No Real Estate Taxes Paid",2013,"2013",2959574,15983.608666380693,"United States","01000US","united-states",0.039421197537951695
0,"Less Than $800",2013,"2013",44065,1408.9943222028967,"Houston, TX","16000US4835000","houston-tx",0.12424330428260875
1,"$800 to $1,499",2013,"2013",50625,1580.7140791427148,"Houston, TX","16000US4835000","houston-tx",0.14273952750044408
2,"$1,500 to $1,999",2013,"2013",32797,1220.938163872356,"Houston, TX","16000US4835000","houston-tx",0.09247265745050992
3,"$2,000 to $2,999",2013,"2013",59275,1712.4508752078116,"Houston, TX","16000US4835000","houston-tx",0.16712860232274218
4,"$3,000 or More",2013,"2013",143702,2241.911907279142,"Houston, TX","16000US4835000","houston-tx",0.40517443122703833
5,"No Real Estate Taxes Paid",2013,"2013",24203,863.7082840867047,"Houston, TX","16000US4835000","houston-tx",0.06824147721665676